match_id,started_at,demo_url
1-7713d986-68e6-442c-9171-0ffca2da3ea3,1535918572,https://s3.amazonaws.com/faceit-puppeteer/prod/csgo/a019fbca-12f2-4c16-b93f-fe3aa40b5af6/a019fbca-12f2-4c16-b93f-fe3aa40b5af6.dem.gz
1-2d83f5d5-a2e2-484c-8b34-5d0715d4ac3e,1535915991,https://s3.amazonaws.com/faceit-puppeteer/prod/csgo/15053c5e-8147-4e15-a97c-297d1da13c17/15053c5e-8147-4e15-a97c-297d1da13c17.dem.gz
1-986c92e4-450d-4e47-8090-e1badb854466,1535842740,https://s3.amazonaws.com/faceit-puppeteer/prod/csgo/81c4e21d-a7cb-45de-8778-a35f577c3380/81c4e21d-a7cb-45de-8778-a35f577c3380.dem.gz
1-e33f29ea-684d-4364-bf19-063612c2d393,1535840535,https://s3.amazonaws.com/faceit-puppeteer/prod/csgo/08827273-2480-4f8d-ac6f-2e7093625be7/08827273-2480-4f8d-ac6f-2e7093625be7.dem.gz
1-51469762-3bff-4133-8e19-fbfc52130b78,1535838548,https://s3.amazonaws.com/faceit-puppeteer/prod/csgo/6cadb717-1bae-433c-a2a8-d7b082505b16/6cadb717-1bae-433c-a2a8-d7b082505b16.dem.gz
1-00c50679-d864-4ed4-9d66-dffc2f6777aa,1535836403,https://s3.amazonaws.com/faceit-puppeteer/prod/csgo/178e4eaa-2580-4c12-adf7-7c4ec7606979/178e4eaa-2580-4c12-adf7-7c4ec7606979.dem.gz
1-b63c0955-8e37-4b42-8ea4-4c64f5500332,1535834153,https://s3.amazonaws.com/faceit-puppeteer/prod/csgo/38da1354-511e-4633-bdb5-8b069e082b7f/38da1354-511e-4633-bdb5-8b069e082b7f.dem.gz
1-1a3f7027-23e8-439b-ab50-836ea0f94316,1535833322,https://s3.amazonaws.com/faceit-puppeteer/prod/csgo/1ec98553-5785-4e2a-a1da-8f90de3c2404/1ec98553-5785-4e2a-a1da-8f90de3c2404.dem.gz
1-a858ba16-4879-432f-851c-0bae1be665d9,1535831783,https://s3.amazonaws.com/faceit-puppeteer/prod/csgo/0e333ab6-4ffa-413b-ab05-09365572a2aa/0e333ab6-4ffa-413b-ab05-09365572a2aa.dem.gz
1-4fd0a0fb-ac0c-4c04-a64c-90295df20628,1535830384,https://s3.amazonaws.com/faceit-puppeteer/prod/csgo/1e9851cd-2ad4-47b1-8caa-7525c0423f2e/1e9851cd-2ad4-47b1-8caa-7525c0423f2e.dem.gz
1-01ab83bd-6099-4dd7-9600-9a0602dc95e1,1535828142,https://s3.amazonaws.com/faceit-puppeteer/prod/csgo/4cc5c1c7-f077-4f06-9a56-f1884424381f/4cc5c1c7-f077-4f06-9a56-f1884424381f.dem.gz
1-b8c51d8c-460a-4703-8769-25d50f8ebf47,1535825615,https://s3.amazonaws.com/faceit-puppeteer/prod/csgo/866f3999-2920-4245-8956-7744875b2652/866f3999-2920-4245-8956-7744875b2652.dem.gz
1-8234eddb-d42a-4266-881d-564394882b50,1535763617,https://s3.amazonaws.com/faceit-puppeteer/prod/csgo/804b649f-a5ad-43cf-acf1-f5cb2aa7b49f/804b649f-a5ad-43cf-acf1-f5cb2aa7b49f.dem.gz
1-a7870290-c51a-4f77-861e-0b285c07ca90,1535759073,https://s3.amazonaws.com/faceit-puppeteer/prod/csgo/84949042-cf79-4745-b493-55e2d92b9d96/84949042-cf79-4745-b493-55e2d92b9d96.dem.gz
